"function_description"	"department"	"id"	"firstName"	"lastName"	"birthdate"	"birthplace"	"gender"	"address"	"zip_code"	"tel_nr"	"residence"	"user"
"it"	"it"	"e000000"	"Harold"	"Finch"	"1962-09-22"	"lassiter"	"m"	"Metrostation1"	"1010MS"	"1010010101"	"new_york"	"admin"
"dc"	"a"	"e000001"	"John"	"Dolittle"	"1967-12-19"	"puddleby-on-the-marsh"	"m"	"Animal Street 5"	"1234TS"	"0000000000"	"puddleby-on-the-marsh"	"dolittle"
"rs"	"r"	"e000002"	"Heinz"	"Doofenshmirtz"	"1960-08-27"	"gimelschtump"	"m"	"Doofenstreet 6"	"6666EV"	"6666666666"	"danville"	"JohnnyRingoenshmirtz217"
"dc,ps"	"p"	"e000003"	"Victor"	"Frankenstein"	"1818-01-01"	"napoli"	"m"	"Fulton St. 525"	"IL 601134"	"1111111111"	"geneve"	"frankie"
"rs"	"g"	"e000004"	"Gregor Johann"	"Mendel"	"1822-07-20"	"hyncice"	"m"	"Parcele st.25"	"1234TS"	"2222222222"	"hyncice"	"gregor"
"dc"	"di"	"e000005"	"John"	"Watson"	"1975-08-07"		"m"	"22B Bakerstreet"			"london"	"watson"
"hdm,dc,np,pt,ids"	"di"	"e000006"	"Gregory"	"House"	"1959-05-15"		"m"					"house"
"dc,onc"	"onc"	"e000007"	"James"	"Wilson"			"m"	"22B Bakerstreet"			"princeton"	"jwilson"
"dm,dc"		"e000008"	"Lisa"	"Cuddy"	"1968-08-04"		"f"					"lcuddy"
"dc,sg"	"di"	"e000009"	"Robert"	"Chase"	"1979-01-23"		"m"					"rchase"
"dc,im"	"di"	"e000010"	"Allison"	"Cameron"	"1979-12-23"	"chicago"	"f"					"acameron"
"dc,ne"	"di"	"e000011"	"Eric"	"Foreman"	"1979-07-20"	"new_york"	"m"					"eforeman"
"dc,ps"	"di"	"e000012"	"Chris"	"Taub"			"m"					"ctaub"
"dc,in"	"di"	"e000013"	"Remy"	"Hadley"	"1984-02-02"	"new_york"	"f"					"rhadley"
