"displayName"	"userName"	"active"	"role"	"title"	"e_mail"
"h.doofenshmirtz"	"JohnnyRingoenshmirtz217"	"true"	"employee"	"dr."	"doof@doofania.nl"
"a.cameron"	"acameron"	"true"	"employee"	"dr."	"a.cameron@princeton-plainseboro.com"
"admin"	"admin"	"true"	"admin"		"admin@thisHospital.com"
"baby_doe"	"bdoe"	"true"	"patient"		"j.doe@example.com"
"c.flynn"	"cflynn"	"true"	"patient"		"c.flynn@example.com"
"c.taub"	"ctaub"	"true"	"employee"	"dr."	"c.taub@princeton-plainsboro.com"
"j.dolittle"	"dolittle"	"true"	"employee"	"dr."	"j.dolittle@animals4life.nl"
"e.foreman"	"eforeman"	"true"	"employee"	"dr."	"e.foreman@princeton-plainsboro.com"
"f.fletcher"	"ffletcher"	"true"	"patient"		"ferb@example.com"
"v.frankenstein"	"frankie"	"true"	"employee"	"dr."	"v.frankenstein@gmail.com"
"g.mendel"	"gregor"	"true"	"employee"		"g.mendel@gmail.com"
"g.house"	"house"	"true"	"employee"	"dr."	"donotreply@princeton-plainsboro.com"
"john_doe"	"jdoe"	"true"	"patient"		"johnny@example.com"
"jane_doe"	"jdoe2"	"true"	"patient"		"j.doe@example.com"
"j.wilson"	"jwilson"	"true"	"employee"	"dr."	"j.wilson@princeton-plainsboro.com"
"l.cuddy"	"lcuddy"	"true"	"employee"	"dr."	"l.cuddy@princeton-plainsboro.com"
"l.fletcher"	"lfletcher"	"true"	"patient"		"l.fletcher@example.com"
"l.flynn"	"lflynn"	"true"	"patient"		"l.flynn@example.com"
"mama_doe"	"mdoe"	"true"	"patient"		"mama_doe@example.com"
"papa_doe"	"pdoe"	"true"	"patient"		"papa_doe@example.com"
"p.flynn"	"pflynn"	"true"	"patient"		"phineas@example.com"
"r.chase"	"rchase"	"true"	"employee"	"dr."	"r.chase@princeton-plainsboro.com"
"r.hadley"	"rhadley"	"true"	"employee"	"dr."	"r.hadley@princeton-plainsboro.com"
"v.doofenshmirtz"	"vdoof"	"true"	"patient"		"v.doofenshmirtz@example.com"
"j.watson"	"watson"	"true"	"employee"	"dr."	"j.watson@princeton-plainsboro.com"
